session_id,user_id,page_url,visit_time
5001,65,/home,2024-01-01 00:02:16
5001,65,/product,2024-01-01 00:04:10
5001,65,/cart,2024-01-01 00:06:25
5001,65,/checkout,2024-01-01 00:08:21
5001,65,/about,2024-01-01 00:10:24
5001,65,/about,2024-01-01 00:12:39
5001,65,/about,2024-01-01 00:13:31
5002,11,/home,2024-01-01 00:13:48
5002,11,/product,2024-01-01 00:14:54
5002,11,/cart,2024-01-01 00:16:18
5002,11,/checkout,2024-01-01 00:16:36
5002,11,/about,2024-01-01 00:17:56
5002,11,/about,2024-01-01 00:19:03
5003,69,/home,2024-01-01 00:19:56
5003,69,/product,2024-01-01 00:22:03
5003,69,/cart,2024-01-01 00:24:37
5003,69,/checkout,2024-01-01 00:26:53
5004,71,/home,2024-01-01 00:27:31
5004,71,/product,2024-01-01 00:30:07
5004,71,/cart,2024-01-01 00:30:46
5004,71,/checkout,2024-01-01 00:32:04
5004,71,/about,2024-01-01 00:34:33
5004,71,/about,2024-01-01 00:36:16
5005,70,/home,2024-01-01 00:36:36
5005,70,/product,2024-01-01 00:38:38
5005,70,/cart,2024-01-01 00:41:07
5005,70,/checkout,2024-01-01 00:42:12
5005,70,/about,2024-01-01 00:44:10
5005,70,/about,2024-01-01 00:44:46
5005,70,/about,2024-01-01 00:47:43
5005,70,/about,2024-01-01 00:48:56
5006,39,/home,2024-01-01 00:49:14
5006,39,/product,2024-01-01 00:51:19
5006,39,/cart,2024-01-01 00:52:36
5006,39,/checkout,2024-01-01 00:54:15
5006,39,/about,2024-01-01 00:54:47
5006,39,/about,2024-01-01 00:56:49
5006,39,/about,2024-01-01 00:57:29
5006,39,/about,2024-01-01 00:58:39
5007,27,/home,2024-01-01 01:01:19
5007,27,/product,2024-01-01 01:02:58
5007,27,/cart,2024-01-01 01:05:44
5007,27,/checkout,2024-01-01 01:08:35
5007,27,/about,2024-01-01 01:10:34
5007,27,/about,2024-01-01 01:11:26
5007,27,/about,2024-01-01 01:14:13
5007,27,/about,2024-01-01 01:14:58
5008,27,/home,2024-01-01 01:16:00
5008,27,/product,2024-01-01 01:16:25
5008,27,/cart,2024-01-01 01:19:00
5008,27,/checkout,2024-01-01 01:20:39
5008,27,/about,2024-01-01 01:23:05
5008,27,/about,2024-01-01 01:24:26
5008,27,/about,2024-01-01 01:27:08
5008,27,/about,2024-01-01 01:29:35
5009,22,/home,2024-01-01 01:30:59
5009,22,/product,2024-01-01 01:32:23
5009,22,/cart,2024-01-01 01:34:59
5009,22,/checkout,2024-01-01 01:36:17
5010,66,/home,2024-01-01 01:36:51
5010,66,/product,2024-01-01 01:37:35
5010,66,/cart,2024-01-01 01:39:30
5010,66,/checkout,2024-01-01 01:39:55
5010,66,/about,2024-01-01 01:41:15
5010,66,/about,2024-01-01 01:44:12
5010,66,/about,2024-01-01 01:44:54
5011,90,/home,2024-01-01 01:45:37
5011,90,/product,2024-01-01 01:46:50
5011,90,/cart,2024-01-01 01:47:37
5011,90,/checkout,2024-01-01 01:49:09
5011,90,/about,2024-01-01 01:50:22
5011,90,/about,2024-01-01 01:52:12
5011,90,/about,2024-01-01 01:54:27
5011,90,/about,2024-01-01 01:55:13
5012,74,/home,2024-01-01 01:56:31
5012,74,/product,2024-01-01 01:59:21
5012,74,/cart,2024-01-01 02:01:17
5012,74,/checkout,2024-01-01 02:03:03
5012,74,/about,2024-01-01 02:05:08
5012,74,/about,2024-01-01 02:05:37
5012,74,/about,2024-01-01 02:08:29
5013,99,/home,2024-01-01 02:10:22
5013,99,/product,2024-01-01 02:12:43
5014,96,/home,2024-01-01 02:14:27
5014,96,/product,2024-01-01 02:16:33
5014,96,/cart,2024-01-01 02:18:47
5014,96,/checkout,2024-01-01 02:20:20
5015,75,/home,2024-01-01 02:20:53
5015,75,/product,2024-01-01 02:23:00
5016,82,/home,2024-01-01 02:24:41
5016,82,/product,2024-01-01 02:25:07
5016,82,/cart,2024-01-01 02:27:33
5016,82,/checkout,2024-01-01 02:29:24
5016,82,/about,2024-01-01 02:30:29
5016,82,/about,2024-01-01 02:32:28
5016,82,/about,2024-01-01 02:33:32
5017,64,/home,2024-01-01 02:35:04
5017,64,/product,2024-01-01 02:36:26
5017,64,/cart,2024-01-01 02:38:02
5017,64,/checkout,2024-01-01 02:40:32
5018,74,/home,2024-01-01 02:43:06
5018,74,/product,2024-01-01 02:45:20
5018,74,/cart,2024-01-01 02:46:57
5019,88,/home,2024-01-01 02:47:19
5019,88,/product,2024-01-01 02:47:40
5019,88,/cart,2024-01-01 02:48:15
5019,88,/checkout,2024-01-01 02:51:05
5019,88,/about,2024-01-01 02:53:12
5019,88,/about,2024-01-01 02:53:26
5019,88,/about,2024-01-01 02:54:07
5019,88,/about,2024-01-01 02:54:57
5020,57,/home,2024-01-01 02:55:07
5020,57,/product,2024-01-01 02:57:06
5020,57,/cart,2024-01-01 02:58:07
5020,57,/checkout,2024-01-01 02:58:50
5020,57,/about,2024-01-01 03:01:46
