order_id,order_datetime,product_name,category,quantity,unit_price,discount,total_amount,payment_method
ORD0000001,2023-08-12 02:56:38,口红,个护美妆,2,103.96,0.0,207.92,京东支付
ORD0000001,2023-08-12 02:56:38,香水,个护美妆,1,225.78,0.0,225.78,花呗
ORD0000002,2023-08-04 15:33:54,手机壳,手机配件,1,30.45,0.0,30.45,微信
ORD0000002,2023-08-04 15:33:54,钢化膜,手机配件,2,27.89,3.81,51.97,微信
ORD0000002,2023-08-04 15:33:54,键盘,电脑配件,1,141.97,0.0,141.97,信用卡
ORD0000003,2022-10-28 21:56:10,可乐,零食饮料,1,7.44,1.55,5.89,支付宝
ORD0000003,2022-10-28 21:56:10,坚果,零食饮料,2,37.72,0.0,75.44,支付宝
ORD0000004,2023-06-13 10:54:39,笔记本包,电脑配件,1,111.16,0.0,111.16,支付宝
ORD0000004,2023-06-13 10:54:39,网线,电脑配件,2,20.31,0.0,40.62,微信
ORD0000004,2023-06-13 10:54:39,鼠标,电脑配件,1,78.22,0.0,78.22,京东支付
ORD0000005,2023-09-14 04:19:11,U盘,电脑配件,1,47.22,0.0,47.22,支付宝
ORD0000005,2023-09-14 04:19:11,杯子,家居用品,2,41.89,0.0,83.78,信用卡
ORD0000005,2023-09-14 04:19:11,网线,电脑配件,1,17.22,1.92,15.3,信用卡
ORD0000005,2023-09-14 04:19:11,键盘,电脑配件,2,132.81,0.0,265.62,支付宝
ORD0000005,2023-09-14 04:19:11,鼠标,电脑配件,1,79.15,0.0,79.15,京东支付
ORD0000005,2023-09-14 04:19:11,鼠标垫,电脑配件,1,27.0,0.0,27.0,微信
ORD0000006,2022-05-11 08:49:59,U盘,电脑配件,4,43.12,0.0,172.48,支付宝
ORD0000006,2022-05-11 08:49:59,饼干,零食饮料,3,21.81,0.0,65.43,信用卡
ORD0000007,2023-09-05 14:38:44,USB转接头,电脑配件,1,33.24,9.31,23.93,信用卡
ORD0000007,2023-09-05 14:38:44,U盘,电脑配件,1,47.85,0.0,47.85,支付宝
